model_auta,cena,rok,najezd,stav,vykon,objem_motoru,typ_paliva,typ_prevodovky,typ_karoserie,barva_exterieru,metaliza,kraj
Řada 3,59000,2001,244300,neuvedeno,118,1895,benzin,manuální převodovka,kupé,černá,True,Středočeský
Řada 5,59900,2000,275001,neuvedeno,170,2171,benzin,manuální převodovka,kombi,šedá,True,Hlavní město Praha
Řada 3,56900,2005,399400,neuvedeno,150,1995,nafta,manuální převodovka,kombi,černá,False,Zlínský
Řada 5,4200,2002,315047,neuvedeno,163,2497,nafta,aut. převodovka,sedan,modrá,True,Středočeský
X5,60000,2004,241700,Dobrý,218,3000,nafta,aut. převodovka,SUV,zelená,False,Hlavní město Praha
Řada 1,59900,2007,155500,neuvedeno,143,1995,benzin,manuální převodovka,hatchback,modrá,True,Hlavní město Praha
Řada 3,40000,2002,215000,Velmi dobrý,510,1796,benzin,manuální převodovka,kupé,černá,True,Liberecký
Řada 3,29900,1989,235000,Uspokojivý,113,1796,benzin,manuální převodovka,kombi,červená,False,Liberecký
Řada 3,39900,2007,559741,Uspokojivý,122,1995,nafta,manuální převodovka,kombi,černá,False,Hlavní město Praha
Řada 3,24999,2011,281401,neuvedeno,177,1995,nafta,manuální převodovka,sedan,černá,True,Středočeský
Řada 3,35000,1993,204520,Dobrý,150,1991,benzin,aut. převodovka,sedan,bílá,False,Středočeský
Řada 1,50000,2007,198976,Dobrý,116,1600,benzin,manuální převodovka,hatchback,modrá,False,Hlavní město Praha
Řada 5,58000,1998,350000,Dobrý,193,2793,benzin,aut. převodovka,sedan,zelená,False,Středočeský
Řada 3,44000,2005,230470,Dobrý,143,1995,benzin,manuální převodovka,kombi,šedá,False,Středočeský
Řada 5,49900,2001,310246,Velmi dobrý,170,2171,benzin,manuální převodovka,kombi,stříbrná,True,Liberecký
Řada 1,60000,2007,248289,Dobrý,116,1600,benzin,manuální převodovka,hatchback,šedá,False,Hlavní město Praha
Řada 3,45000,2005,276485,Dobrý,150,2000,benzin,manuální převodovka,sedan,černá,False,Hlavní město Praha
