Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce
BMW Řada 3,"318i, Kůže, vyhř. sedadla.",59 000 Kč,3/2001,244300km,9/2026,neuvedeno,87 kW / 118 PS,1 895 cm³,benzin,manuální převodovka,kupé,2 dveře,5 míst,černá metalíza,K Solné stezce Říčany u Prahy 25101
BMW Řada 5,520i 125kW !,59 900 Kč,11/2000,275001km,10/2026,neuvedeno,125 kW / 170 PS,2 171 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,šedá metalíza,Malešická 47 Praha 3 Praha 3 Žižkov 13000
BMW Řada 3,"2,0 320d, Xenon, Digi Klima",56 900 Kč,1/2005,399400km,2/2026,neuvedeno,110 kW / 150 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,černá,Kvítkovická 1527 Napajedla 76361
BMW Řada 5,525 D TOURING AT,4 200 Kč,2002,315047km,1/2019,neuvedeno,120 kW / 163 PS,2 497 cm³,nafta,aut. převodovka,neuvedeno,neuvedeno,neuvedeno,modrá metalíza,K Raškovci 1360/V Kolín 28002
BMW X5,"3.0d, 4X4, Automat, po STK",60 000 Kč,2004,241700km,10/2026,Dobrý,160 kW / 218 PS,3 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,zelená,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,118i / 105 kW / MANUÁL,59 900 Kč,11/2007,155500km,1/2025,neuvedeno,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,modrá metalíza,Libeňský ostrov Praha 8 18000
BMW Řada 3,316 TI COMPACT 85 KW,40 000 Kč,2002,215000km,neuvedeno,Velmi dobrý,neuvedeno,1 796 cm³,benzin,manuální převodovka,kupé,3 dveře,5 míst,černá metalíza,Líšný 2.díl 6 Líšný 46822
BMW Řada 3,"1.8 VETERÁN Vada motoru, koroz",29 900 Kč,12/1989,235000km,neuvedeno,Uspokojivý,83 kW / 113 PS,1 796 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,červená,Československé Armády 71/44 Jablonec nad Nisou 46605
BMW Řada 3,318D Touring,39 900 Kč,8/2007,559741km,1/2025,Uspokojivý,90 kW / 122 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,černá,Weilova 1144/2 Praha 10 - Hostivař 10205
BMW Řada 3,320d poškozené BEZ MOTORU,24 999 Kč,2011,281401km,neuvedeno,neuvedeno,130 kW / 177 PS,1 995 cm³,nafta,manuální převodovka,sedan,4 dveře,5 míst,černá metalíza,V Zátiší 71 Průhonice - Rozkoš 25242
BMW Řada 3,"2,0 320i automat",35 000 Kč,3/1993,204520km,9/2019,Dobrý,110 kW / 150 PS,1 991 cm³,benzin,aut. převodovka,sedan,neuvedeno,neuvedeno,bílá,Vídeňská 343 Vestec u Prahy 25242
BMW Řada 1,"116i, nová STK, jezdí výborně",50 000 Kč,2007,198976km,10/2025,Dobrý,85 kW / 116 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,"528i automat, EKO uhrazeno!",58 000 Kč,8/1998,350000km,8/2026,Dobrý,142 kW / 193 PS,2 793 cm³,benzin,aut. převodovka,sedan,4 dveře,5 míst,světle zelená,Dolní Vinice Kly u Mělníka 27741
BMW Řada 3,"E46 318i 140PS, Manual, Alu",44 000 Kč,2005,230470km,10/2025,Dobrý,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,světle šedá,Kolínská 244 Uhlířské Janovice 28504
BMW Řada 5,"2,2 i V6 E39 520i TOURING,",49 900 Kč,7/2001,310246km,neuvedeno,Velmi dobrý,125 kW / 170 PS,2 171 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,stříbrná metalíza,Československé Armády 71/44 Jablonec nad Nisou 46605
BMW Řada 1,"116i, nová STK, plně pojízdný",60 000 Kč,2007,248289km,8/2025,Dobrý,85 kW / 116 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"320 i, po STK, jezdí výborně",45 000 Kč,2005,276485km,8/2026,Dobrý,110 kW / 150 PS,2 000 cm³,benzin,manuální převodovka,sedan,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"318 td, nová STK",50 000 Kč,2003,344491km,11/2025,Dobrý,85 kW / 116 PS,2 000 cm³,nafta,manuální převodovka,hatchback,3 dveře,5 míst,zelená,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"2,0 318i Touring",59 000 Kč,1/2005,303000km,1/2026,Dobrý,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,světle šedá metalíza,Jáchymovská 350/81 Karlovy Vary 36004
BMW Řada 3,320i E90 110 kW NOVÁ STK,59 900 Kč,2/2006,172949km,8/2026,Způsobilý k provozu,110 kW / 150 PS,1 995 cm³,benzin,manuální převodovka,sedan,4 dveře,5 míst,stříbrná,Masarykova 412 DOMAŽLICE 34401
BMW Řada 3,"2,0 320D AUTOMAT,NAVIGACE",69 900 Kč,11/2004,245379km,9/2026,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,světle šedá metalíza,Vizovická 442 Zlín 76001
BMW Řada 1,"2.0 D 120 D, xenon, kůže",60 000 Kč,2006,273530km,1/2027,neuvedeno,120 kW / 163 PS,1 995 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,černá,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 3,318I Touring,72 000 Kč,10/2006,260001km,4/2026,neuvedeno,95 kW / 129 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,černá,Malešická 47 Praha 3 Praha 3 Žižkov 13000
